month,start,end,value
january,1,2,4
january,3,4,3.5
january,4,5,4
january,6,7,3.5
january,7,8,3.5
january,9,10,3.5
january,11,12,4
january,16,17,3.5
january,19,20,3.5
january,19,20,4
january,26,27,0.5
january,26,27,3
january,30,31,2.5
february,0,1,3.5
february,0,1,3
february,2,3,2.5
february,4,5,3.5
february,7,8,3.5
february,9,10,3
february,15,16,3.5
february,16,17,3.5
february,19,20,2
march,1,2,2.5
march,6,7,4.5
march,12,13,3
march,14,15,3.5
march,17,18,3.5
march,18,19,4
march,19,20,4
march,25,26,4
march,26,27,3
march,29,30,4.5
april,10,11,2
april,13,14,4
april,15,16,3
april,26,27,2.5
april,26,27,2.5
may,0,1,4.5
may,0,1,3.5
may,4,5,2.5
may,5,6,2.5
may,6,7,4
may,6,7,3.5
may,6,7,2.5
may,7,8,4
may,8,9,4
may,9,10,4
may,12,13,3.5
may,15,16,2.5
may,15,16,3.5
may,21,22,2
may,21,22,3
may,25,26,1.5
may,27,28,4
may,28,29,3.5
may,30,31,4
june,7,8,4.5
june,9,10,1.5
june,10,11,3.5
june,19,20,2.5
june,26,27,3.5
june,28,29,2.5
june,29,30,4
july,4,5,4.5
july,5,6,3
july,7,8,4.5
july,11,12,2
july,12,13,3.5
july,15,16,4
july,16,17,3.5
july,21,22,2.5
july,24,25,2.5
july,26,27,3
july,29,30,2
august,0,1,2
august,3,4,4.5
august,6,7,2.5
august,7,8,3
august,12,13,4
august,15,16,3
august,19,20,3.5
august,22,23,1
august,23,24,2.5
august,29,30,4
september,2,3,4
september,10,11,3
september,18,19,3.5
october,0,1,3.5
october,2,3,4
october,3,4,3.5
october,8,9,2.5
october,11,12,2.5
october,11,12,4
october,14,15,3
october,15,16,3
october,15,16,1.5
october,16,17,1.5
october,22,23,3.5
october,26,27,4
october,28,29,3.5
november,0,1,2
november,12,13,2
november,19,20,3
november,19,20,3
november,19,20,3
november,19,20,2
november,21,22,4
november,26,27,3
november,27,28,2.5
november,29,30,5
december,1,2,4
december,3,4,3.5
december,3,4,3
december,15,16,3
december,16,17,1
december,17,18,3.5
december,20,21,4
december,24,25,1.5
december,24,25,4
december,25,26,4
december,26,27,3.5
december,27,28,3.5
december,28,29,4
december,29,30,4.5
december,29,30,2
december,30,31,4
december,30,31,3
